,assetCode,confidenceValue
0,A.N,0.00257291272283
1,AAL.O,0.00200105877593
2,AAN.N,0.00447129737586
3,AAP.N,0.00830249954015
4,AAPL.O,0.00478255841881
5,ABB.N,0.00555424485356
6,ABBV.N,0.00843902863562
7,ABC.N,0.0082602230832
8,ABCB.O,0.00549306627363
9,ABCO.O,0.0126787936315
10,ABEV.N,0.00519913900644
11,ABM.N,0.00671150628477
12,ABMD.O,0.00714893080294
13,ABT.N,0.00438890978694
14,ABX.N,0.0196575969458
15,ABY.O,0.00574904959649
16,ACAD.O,0.022178966552
17,ACAS.O,0.00375519879162
18,ACC.N,0.0128216063604
19,ACCO.N,0.00671711098403
20,ACGL.O,0.00706316810101
21,ACHC.O,0.00651520304382
22,ACHN.O,0.00825437065214
23,ACIA.O,0.0137255461887
24,ACIW.O,0.00760880392045
25,ACM.N,0.00792424753308
26,ACN.N,0.00560753419995
27,ACOR.O,0.0150669356808
28,ACXM.O,0.0107862139121
29,ADBE.O,0.00829664152116
30,ADI.O,0.00965057406574
31,ADM.N,0.00459846109152
32,ADP.O,0.00709748081863
33,ADRO.O,0.0132964188233
34,ADS.N,0.00782378017902
35,ADSK.O,0.00704002287239
36,ADTN.O,0.0102228214964
37,AEE.N,0.00770219694823
38,AEG.N,0.0047466577962
39,AEIS.O,0.00581685546786
40,AEL.N,0.00600476749241
41,AEM.N,0.0234773084521
42,AEO.N,0.00895211286843
43,AEP.N,0.00986333284527
44,AER.N,0.00462430529296
45,AES.N,0.0181019864976
46,AET.N,0.00522331427783
47,AF.N,0.0056018717587
48,AFG.N,0.00475683901459
49,AFL.N,0.0088330283761
50,AFSI.O,0.00514273252338
51,AG.N,0.0797629058361
52,AGCO.N,-0.000547956675291
53,AGI.N,0.0390249937773
54,AGIO.O,0.00761697534472
55,AGN.N,0.00577483419329
56,AGO.N,0.00593786686659
57,AGR.N,0.0113699110225
58,AGRO.N,0.0030409116298
59,AGU.N,0.00474315881729
60,AHL.N,0.00152090191841
61,AHS.N,0.00217807479203
62,AIG.N,0.00558430608362
63,AINV.O,0.00298110581934
64,AIRM.O,0.0120708206668
65,AIV.N,0.0193367749453
66,AIZ.N,0.00620641559362
67,AJG.N,0.00840677227825
68,AJRD.N,0.00660321302712
69,AKAM.O,0.000415416900069
70,AKR.N,0.00967654865235
71,AKRX.O,0.00168933533132
72,AKS.N,0.000895835459232
73,AL.N,0.00380540918559
74,ALB.N,0.00331898126751
75,ALDR.O,0.0132084460929
76,ALE.N,0.00785475037992
77,ALGN.O,0.00714359246194
78,ALK.N,0.00267168786377
79,ALKS.O,0.011753291823
80,ALL.N,0.00837267842144
81,ALLE.N,0.00849511940032
82,ALLY.N,0.00554075557739
83,ALNY.O,0.0563305728137
84,ALR.N,0.00357922259718
85,ALSN.N,0.00658428203315
86,ALXN.O,0.00582097750157
87,AM.N,0.000470628030598
88,AMAG.O,0.00540523324162
89,AMAT.O,0.00850085355341
90,AMBA.O,0.0165150985122
91,AMBC.O,0.00338150002062
92,AMCX.O,0.00798671040684
93,AMD.O,0.00989972241223
94,AME.N,0.00542118120939
95,AMED.O,0.00711513310671
96,AMG.N,0.00227239588276
97,AMGN.O,0.00553550664335
98,AMH.N,0.00491781067103
99,AMKR.O,0.0085084317252
100,AMP.N,0.0038751186803
101,AMPH.O,-0.000619540922344
102,AMSG.O,0.00329436082393
103,AMT.N,0.00769792310894
104,AMTD.O,0.00178494444117
105,AMX.N,0.00295065157115
106,AMZN.O,0.00722155813128
107,AN.N,0.0051247086376
108,ANET.N,0.0073034465313
109,ANF.N,0.0200565084815
110,ANSS.O,0.00558590330184
111,ANTM.N,0.00493082869798
112,AON.N,0.00718878861517
113,AOS.N,0.0720174238086
114,APA.N,0.00655696447939
115,APAM.N,0.00568378344178
116,APC.N,0.0023285811767
117,APD.N,0.0190133340657
118,APFH.N,0.0024188645184
119,APH.N,0.00725667644292
120,APLE.N,0.00886982027441
121,APO.N,0.00436381809413
122,APOG.O,0.00465517770499
123,APOL.O,0.00265004858375
124,AR.N,0.00320112798363
125,ARCC.O,0.00634399056435
126,ARCO.N,-3.12277115881e-05
127,ARE.N,0.0131659107283
128,ARI.N,0.0112651893869
129,ARIA.O,0.00522755272686
130,ARMK.N,0.00708234217018
131,AROC.N,0.00208650203422
132,ARR.N,0.0042826635763
133,ARRS.O,8.41449946165e-06
134,ARW.N,0.0108007416129
135,ASB.N,0.00375752337277
136,ASH.N,0.00831681769341
137,ASML.O,0.0066262613982
138,ASNA.O,0.0250708796084
